game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,home_wc,away_wc
4359341,EURO,2023,Semi-Finals,2024-07-10,3379,3299,1,2,,,Ronald Koeman,Gareth Southgate,SIGNAL IDUNA PARK,60926.0,Felix Zwayer,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4359341,,,Netherlands,England,1:2,national_team_competition,Netherlands,England
4359342,EURO,2023,Final,2024-07-14,3375,3299,2,1,,,Luis de la Fuente,Gareth Southgate,Olympiastadion Berlin,65600.0,François Letexier,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4359342,,,Spain,England,2:1,national_team_competition,Spain,England
4359358,COPA,2025,Quarter-Finals,2024-07-05,3437,5750,5,3,,,Lionel Scaloni,Félix Sánchez,NRG Stadium,69456.0,Andrés Matonte,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4359358,4-4-2,4-3-3 Attacking,Argentina,Ecuador,5:3,national_team_competition,Argentina,Ecuador
4359360,COPA,2025,Quarter-Finals,2024-07-06,3816,3577,5,0,,,Néstor Lorenzo,Thomas Christiansen,State Farm Stadium,39740.0,Maurizio Mariani,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4359360,4-2-3-1,5-4-1,Colombia,Panama,5:0,national_team_competition,Colombia,Panama
4359361,COPA,2025,Quarter-Finals,2024-07-07,3449,3439,4,2,,,Marcelo Bielsa,Dorival Júnior,Allegiant Stadium,55770.0,Darío Herrera,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4359361,,,Uruguay,Brazil,4:2,national_team_competition,Uruguay,Brazil
4359362,COPA,2025,Semi-Finals,2024-07-10,3437,3510,2,0,,,Lionel Scaloni,Jesse Marsch,MetLife Stadium,80102.0,Piero Maza,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4359362,4-4-2,4-4-2,Argentina,Canada,2:0,national_team_competition,Argentina,Canada
4359364,COPA,2025,Third Place Play-Off,2024-07-14,3510,3449,5,6,,,Jesse Marsch,Marcelo Bielsa,Bank of America Stadium,24386.0,Alexis Herrera,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4359364,4-2-3-1,4-3-3 Attacking,Canada,Uruguay,5:6,national_team_competition,Canada,Uruguay
4359365,COPA,2025,Final,2024-07-15,3437,3816,1,0,,,Lionel Scaloni,Néstor Lorenzo,Hard Rock Stadium,65300.0,Raphael Claus,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4359365,4-4-2,4-2-3-1,Argentina,Colombia,1:0,national_team_competition,Argentina,Colombia
4430438,COPA,2025,Semi-Finals,2024-07-11,3449,3816,0,1,,,Marcelo Bielsa,Néstor Lorenzo,Bank of America Stadium,70644.0,César Ramos Palazuelos,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4430438,,,Uruguay,Colombia,0:1,national_team_competition,Uruguay,Colombia
4680795,AFCN,2025,Group A,2025-12-26,3575,3674,1,1,,,Walid Regragui,Tom Saintfiet,Stade Prince Moulay Abdellah,,Abdou Abdel Mefire,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4680795,4-3-3 Attacking,4-3-3 Attacking,Morocco,Mali,1:1,national_team_competition,Morocco,Mali
4680801,AFCN,2025,Group C,2025-12-27,3444,3670,3,2,,,Éric Chelle,Sami Trabelsi,Stade du Complexe Sportif de Fès,25544.0,Boubou Traoré,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4680801,,,Nigeria,Tunisia,3:2,national_team_competition,Nigeria,Tunisia
4680813,AFCN,2025,Group F,2025-12-28,3591,3434,1,1,,,Emerse Faé,David Pagou,Stade de Marrakech,,Mustapha Ghorbal,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4680813,,,Ivory Coast,Cameroon,1:1,national_team_competition,Côte d'Ivoire,Cameroon
4680819,AFCN,2025,Group D,2025-12-27,3499,3854,1,1,,,Pape Thiaw,Sébastien Desabre,Stade Ibn-Batouta,,Lahlou Benbraham,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4680819,4-2-3-1,4-3-3 Attacking,Senegal,Democratic Republic of the Congo,1:1,national_team_competition,Senegal,DR Congo
4680830,AFCN,2025,Quarter-Finals,2026-01-09,3674,3499,0,1,,,Tom Saintfiet,Pape Thiaw,Stade Ibn-Batouta,32385.0,Abongile Tom,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4680830,4-2-3-1,4-3-3 Attacking,Mali,Senegal,0:1,national_team_competition,Mali,Senegal
4680831,AFCN,2025,Quarter-Finals,2026-01-09,3434,3575,0,2,,,David Pagou,Walid Regragui,Complexe Sportif Moulay Abdallah,,Dahane Beida,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4680831,,,Cameroon,Morocco,0:2,national_team_competition,Cameroon,Morocco
4680832,AFCN,2025,Quarter-Finals,2026-01-10,3614,3444,0,2,,,Vladimir Petkovic,Éric Chelle,Stade de Marrakech,,Issa Sy,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4680832,4-2-3-1,4-3-1-2,Algeria,Nigeria,0:2,national_team_competition,Algeria,Nigeria
4680833,AFCN,2025,Quarter-Finals,2026-01-10,3672,3591,3,2,,,Hossam Hassan,Emerse Faé,Stade d'Agadir,,Mustapha Ghorbal,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4680833,3-4-1-2,4-3-3 Attacking,Egypt,Ivory Coast,3:2,national_team_competition,Egypt,Côte d'Ivoire
4680835,AFCN,2025,Round of 16,2026-01-03,3674,3670,3,2,,,Tom Saintfiet,Sami Trabelsi,Stade Mohammed-V,41982.0,Abongile Tom,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4680835,,,Mali,Tunisia,3:2,national_team_competition,Mali,Tunisia
4680840,AFCN,2025,Round of 16,2026-01-06,3614,3854,1,0,,,Vladimir Petkovic,Sébastien Desabre,Stade Prince Moulay Hassan,,Mahmoud Mansour,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4680840,4-2-3-1,4-3-3 Attacking,Algeria,Democratic Republic of the Congo,1:0,national_team_competition,Algeria,DR Congo
4680842,AFCN,2025,Semi-Finals,2026-01-14,3499,3672,1,0,,,Pape Thiaw,Hossam Hassan,Stade Ibn-Batouta,,Pierre Atcho,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4680842,,,Senegal,Egypt,1:0,national_team_competition,Senegal,Egypt
4680843,AFCN,2025,Semi-Finals,2026-01-14,3444,3575,2,4,,,Éric Chelle,Walid Regragui,Complexe Sportif Moulay Abdallah,,Dan Laryea,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4680843,4-3-1-2,4-1-4-1,Nigeria,Morocco,2:4,national_team_competition,Nigeria,Morocco
4680844,AFCN,2025,Third Place Play-Off,2026-01-17,3672,3444,2,4,,,Hossam Hassan,Éric Chelle,Stade Mohammed-V,,Jalal Jayed,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4680844,4-2-3-1,4-4-2 double 6,Egypt,Nigeria,2:4,national_team_competition,Egypt,Nigeria
4804989,AFCN,2025,Final,2026-01-18,3499,3575,0,3,,,Pape Thiaw,Walid Regragui,Complexe Sportif Moulay Abdallah,66526.0,Jean-Jacques Ndala Ngambo,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4804989,4-3-3 Attacking,4-1-4-1,Senegal,Morocco,0:3,national_team_competition,Senegal,Morocco
