group,place,team_name,team_model,team_code,strength_score,xg_per90_weighted,np_xg_per90,xa_per90_weighted,shots_per90_weighted,key_passes_per90_weighted,attack_depth_index,caps_mean,market_value_mean,feature_source
H,3,Saudi Arabia,Saudi Arabia,KSA,-0.59685170646147645,0.03329866621364644,0.03329866621364652,0.11593478245300406,0.5597014925372829,0.8955223880596943,0.9999999999997596,48,5000000,observed
H,4,Cabo Verde,Cape Verde,CPV,-0.7904434167503417,0.0864234416109704,0.08642344161097046,0.03422462783283602,0.6395679363275589,0.30699260943721063,1,24.16543490619704,13492211.48379785,observed
I,1,Iraq,Iraq,IRQ,1.541909542168082,0.4520374234273748,0.4520374234273749,0.06664709785496284,3.39622641509434,1.69811320754717,0,17.358490566037737,1890566.0377358492,observed
I,2,Norway,Norway,NOR,0.2896558086424985,0.19331120014714176,0.17184295009879105,0.11912298851403012,1.3602157280822544,0.9284460052677718,0.7500000000000139,33.133607174213786,29977274.86516984,observed
I,3,France,France,FRA,-0.11004461795718821,0.15012674346791627,0.1330210502641636,0.10560740766312011,1.159878469371018,0.9131220233207368,0.7073170731707485,12.074291527527336,22978601.211657215,observed
I,4,Senegal,Senegal,SEN,-0.30061669436437405,0.14085790621802402,0.12572833348447235,0.07816500389403669,1.061932195878614,0.732882783071127,0.7222222222222336,26.042959228896205,17978897.85355537,observed
J,1,Jordan,Jordan,JOR,0.743159511921866,0.1450005256874666,0.14500052568746666,0.18652654352357784,2.3595505617977084,1.4044943820224152,1,70,8000000,observed
J,2,Algeria,Algeria,ALG,0.24580138407936342,0.18865663428057217,0.16422847424039444,0.1173984095494372,1.4652444625905916,1.0656323364295146,0.8000000000000057,29.40619577421772,12370521.68447609,observed
J,3,Argentina,Argentina,ARG,0.15766722467251731,0.18223926193956191,0.1650056717591673,0.11385164247852464,1.3151352174133384,0.8858896950631838,0.74509803921569,22.246317249312657,26181313.105687752,observed
J,4,Austria,Austria,AUT,-0.07853075591138123,0.14598663022090336,0.12726696467585324,0.1074799148447606,1.0732257769373807,1.015584494800087,0.7857142857142971,29.536826374699427,12921848.790752504,observed
K,1,Colombia,Colombia,COL,0.4210445349022464,0.20677909127302693,0.1961853888572752,0.132848215709354,1.477402597402604,0.995844155844166,0.7647058823529016,37.02441558441669,15520623.376623644,observed
K,2,Portugal,Portugal,POR,0.08625374053657549,0.16133396025114172,0.14995147011164348,0.12367454270226023,1.3917680386601965,0.9868355274121148,0.6461538461538222,24.02817863689358,23366737.210464288,observed
K,3,Congo DR,DR Congo,COD,-0.5684157879380725,0.14022396426104536,0.1402239642610454,0.04203277865249761,1.0211946050097096,0.5780346820809522,0.5000000000000903,25.199529008776192,14763369.728109416,observed
K,4,Uzbekistan,Uzbekistan,UZB,-1.301230328222368,0.01034059902063246,0.0103405990206325,0.01309946461967663,0.11378002528477994,0.1137800252846223,1,24.00000000000821,34999999.99999646,observed
L,1,Panama,Panama,PAN,0.13772973112922793,0.09633690118788432,0.09633690118788434,0.17849372094211147,0.8282208588956275,1.0122699386504184,1,90.00000000000168,8000000,observed
L,2,England,England,ENG,0.024663980550488962,0.16205572937340032,0.14412038764681911,0.10843349274879056,1.250475934860926,0.8982529289499698,0.7183098591549426,18.841265581014607,30216676.871556245,observed
L,3,Croatia,Croatia,CRO,-0.05225814809524364,0.15227118040996795,0.12436182706903584,0.10567404689342703,1.1166975390315166,0.944694363588274,0.7857142857142818,42.99606009820586,13647496.398223724,observed
L,4,Ghana,Ghana,GHA,-0.37322840253356965,0.13514813230137832,0.12363903160762724,0.06678665345834625,1.1289779424146065,0.6516248526688213,0.7826086956522023,18.06141606331466,16209029.297861924,observed
